,sgg_nm_k,value
0,대구광역시,1573167
1,광주광역시,1019609
2,대전광역시,1092084
3,부산광역시,1738929
4,서울특별시,7218902
5,세종특별자치시,194112
6,울산광역시,816851
7,인천광역시,2104299
8,강릉시,85973
9,동해시,45054
10,삼척시,25030
11,속초시,53686
12,원주시,134497
13,춘천시,179319
14,태백시,10667
15,고양시,715155
16,과천시,36831
17,광명시,229290
18,광주시,80009
19,구리시,143528
20,군포시,222961
21,김포시,298107
22,남양주시,395227
23,동두천시,64915
24,부천시,735112
25,성남시,466478
26,수원시,992251
27,시흥시,374525
28,안산시,514997
29,안성시,96258
30,안양시,404429
31,양주시,94745
32,여주시,28189
33,오산시,167438
34,용인시,595132
35,의왕시,104401
36,의정부시,323977
37,이천시,84494
38,파주시,193013
39,평택시,387402
40,포천시,39614
41,하남시,232583
42,화성시,433862
43,거제시,122349
44,김해시,310548
45,밀양시,40075
46,사천시,20840
47,양산시,248035
48,진주시,189908
49,창원시,722232
50,통영시,46982
51,경산시,197160
52,경주시,111813
53,구미시,280138
54,김천시,55728
55,문경시,31852
56,상주시,28070
57,안동시,78781
58,영주시,47149
59,영천시,30616
60,포항시,299108
61,광양시,112716
62,나주시,43228
63,목포시,168020
64,순천시,169317
65,여수시,137639
66,군산시,181814
67,김제시,24981
68,남원시,25118
69,익산시,151946
70,전주시,480529
71,정읍시,46734
72,서귀포시,50245
73,제주시,272400
74,계룡시,28750
75,공주시,36656
76,논산시,47252
77,당진시,78554
78,보령시,45659
79,서산시,92315
80,아산시,150504
81,천안시,432616
82,제천시,82953
83,청주시,618970
84,충주시,129817
